Grid_Id,Grid_center_x,Grid_center_y,
0,121.501274704,31.2144560029,
1,121.482425778,31.2112851739,
2,121.489862622,31.2147046347,
3,121.483299445,31.2098147354,
4,121.49491861,31.2156897366,
5,121.491649138,31.2120762942,
6,121.482952124,31.2140447505,
7,121.491589404,31.2112459663,
8,121.499006951,31.2164637588,
9,121.4966483,31.21465,
10,121.479653489,31.210051548,
11,121.501395836,31.2190600814,
12,121.480181127,31.208941022,
13,121.488637908,31.2110735304,
14,121.487936445,31.2109418326,
15,121.488211262,31.2145733751,
16,121.4847183,31.21274333,
17,121.496671235,31.2171328905,
18,121.488573641,31.2147262336,
19,121.485149585,31.2129509056,
20,121.489414536,31.211787272,
21,121.497132723,31.2169661929,
22,121.493732055,31.2135136952,
23,121.502180104,31.216137921,
24,121.497416961,31.2141990655,
25,121.493027194,31.216057209,
26,121.486430733,31.2118366518,
27,121.483275652,31.2123913605,
28,121.4806417,31.208945,
29,121.482711795,31.2122297732,
30,121.486967886,31.2144396928,
31,121.491757495,31.2151072963,
32,121.48360397,31.2125031154,
33,121.490458208,31.2170974828,
34,121.490861761,31.2169822576,
35,121.480127112,31.2112576906,
36,121.479810594,31.2136151462,
37,121.488390443,31.2158792522,
38,121.484948027,31.2145696815,
39,121.493322824,31.2172694452,
40,121.485238875,31.2130332483,
41,121.482134063,31.2123829795,
42,121.4774042,31.212725835,
43,121.489304135,31.2172390668,
44,121.47811215,31.2117811626,
45,121.485746732,31.2104817663,
46,121.477502678,31.2128840472,
47,121.494258806,31.2136043109,
48,121.477956626,31.2120718139,
49,121.478212119,31.2133498259,
50,121.482692363,31.2104825588,
51,121.491718089,31.2169835084,
52,121.495652808,31.213913522,
53,121.482895614,31.2101007522,
54,121.49084732,31.2149659542,
55,121.498269729,31.2135685756,
56,121.491296778,31.214485175,
57,121.48041101,31.2113411681,
58,121.481679059,31.213879412,
59,121.496407667,31.2121545205,
60,121.490118578,31.2162794176,
61,121.49981932,31.216277668,
62,121.49349,31.21152167,
63,121.5017483,31.21486333,
64,121.493720374,31.2123570797,
65,121.494596043,31.2132568186,
66,121.501807344,31.2149833137,
67,121.478511595,31.2134393777,
68,121.483415214,31.2161991143,
